package,city,place_tourism1,place_tourism2,place_tourism3,place_tourism4,place_tourism5,places
83,Surabaya,Masjid Muhammad Cheng Hoo,Masjid Nasional Al-Akbar,Klenteng Sanggar Agung,Patung Buddha Empat Rupa,Gereja Perawan Maria Tak Berdosa Surabaya,Masjid Muhammad Cheng Hoo Masjid Nasional Al-Akbar Klenteng Sanggar Agung Patung Buddha Empat Rupa Gereja Perawan Maria Tak Berdosa Surabaya
84,Surabaya,Ciputra Waterpark,Kenjeran Park,Kebun Binatang Surabaya,Atlantis Land Surabaya,None,Ciputra Waterpark Kenjeran Park Kebun Binatang Surabaya Atlantis Land Surabaya None
85,Surabaya,Air Mancur Menari,Monumen Kapal Selam,Pantai Ria Kenjeran,None,None,Air Mancur Menari Monumen Kapal Selam Pantai Ria Kenjeran None None
86,Surabaya,Museum De Javasche Bank,Surabaya Museum (Gedung Siola),Balai Kota Surabaya,Museum Mpu Tantular,None,Museum De Javasche Bank Surabaya Museum (Gedung Siola) Balai Kota Surabaya Museum Mpu Tantular None
87,Surabaya,Surabaya North Quay,Waterpark Kenjeran Surabaya,| Food Junction Grand Pakuwon,None,None,Surabaya North Quay Waterpark Kenjeran Surabaya | Food Junction Grand Pakuwon None None
88,Surabaya,Taman Buah Surabaya,Taman Pelangi,Taman Barunawati,Taman Mundu,None,Taman Buah Surabaya Taman Pelangi Taman Barunawati Taman Mundu None
89,Surabaya,Rumah Batik,Jembatan Merah,Monumen Tugu Pahlawan,Monumen Jalesveva Jayamahe,Patung Sura dan Buaya,Rumah Batik Jembatan Merah Monumen Tugu Pahlawan Monumen Jalesveva Jayamahe Patung Sura dan Buaya
90,Surabaya,Monumen Tugu Pahlawan,Monumen Jalesveva Jayamahe,Patung Sura dan Buaya,Monumen Bambu Runcing Surabaya,House of Sampoerna,Monumen Tugu Pahlawan Monumen Jalesveva Jayamahe Patung Sura dan Buaya Monumen Bambu Runcing Surabaya House of Sampoerna
91,Surabaya,Ekowisata Mangrove Wonorejo,Taman Harmoni Keputih,Taman Air Mancur Menari Kenjeran,None,None,Ekowisata Mangrove Wonorejo Taman Harmoni Keputih Taman Air Mancur Menari Kenjeran None None
92,Surabaya,Taman Kunang-Kunang,Taman Ekspresi Dan Perpustakaan,Taman Air Mancur Menari Kenjeran,None,None,Taman Kunang-Kunang Taman Ekspresi Dan Perpustakaan Taman Air Mancur Menari Kenjeran None None
93,Surabaya,Museum TNI AL Loka Jala Crana,Klenteng Sanggar Agung,Museum Sepuluh Nopember Kota Surabaya,Museum Kesehatan Dr. Adhyatma,Taman Hiburan Rakyat,Museum TNI AL Loka Jala Crana Klenteng Sanggar Agung Museum Sepuluh Nopember Kota Surabaya Museum Kesehatan Dr. Adhyatma Taman Hiburan Rakyat
94,Surabaya,Taman Buah Surabaya,Taman Pelangi,Hutan Bambu Keputih,Taman Barunawati,Kebun Bibit Wonorejo,Taman Buah Surabaya Taman Pelangi Hutan Bambu Keputih Taman Barunawati Kebun Bibit Wonorejo
95,Surabaya,Museum TNI AL Loka Jala Crana,Taman Hiburan Rakyat,Museum De Javasche Bank,Museum Mpu Tantular,None,Museum TNI AL Loka Jala Crana Taman Hiburan Rakyat Museum De Javasche Bank Museum Mpu Tantular None
96,Surabaya,Ekowisata Mangrove Wonorejo,Taman Harmoni Keputih,Taman Kunang-Kunang,Taman Ekspresi Dan Perpustakaan,Museum De Javasche Bank,Ekowisata Mangrove Wonorejo Taman Harmoni Keputih Taman Kunang-Kunang Taman Ekspresi Dan Perpustakaan Museum De Javasche Bank
97,Surabaya,Ciputra Waterpark,Kenjeran Park,Kebun Binatang Surabaya,Food Junction Grand Pakuwon,| Atlantis Land Surabaya,Ciputra Waterpark Kenjeran Park Kebun Binatang Surabaya Food Junction Grand Pakuwon | Atlantis Land Surabaya
98,Surabaya,Museum Kesehatan Dr. Adhyatma,Patung Buddha Empat Rupa,Taman Hiburan Rakyat,Taman Bungkul,Taman Flora Bratang Surabaya,Museum Kesehatan Dr. Adhyatma Patung Buddha Empat Rupa Taman Hiburan Rakyat Taman Bungkul Taman Flora Bratang Surabaya
99,Surabaya,Taman Ekspresi Dan Perpustakaan,Museum De Javasche Bank,Surabaya Museum (Gedung Siola),Museum Mpu Tantular,Taman Air Mancur Menari Kenjeran,Taman Ekspresi Dan Perpustakaan Museum De Javasche Bank Surabaya Museum (Gedung Siola) Museum Mpu Tantular Taman Air Mancur Menari Kenjeran
100,Surabaya,Taman Buah Surabaya,Hutan Bambu Keputih,Taman Barunawati,Kebun Bibit Wonorejo,Taman Mundu,Taman Buah Surabaya Hutan Bambu Keputih Taman Barunawati Kebun Bibit Wonorejo Taman Mundu
